;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
312;3.37;0.0;2.17;0.0;0.0;0.0;0.61;0.225799973460899
313;3.11;1.1;1.5;0.55;0.0;0.0;0.0;0.2041943391195
314;2.75;0.0;1.82;0.0;0.0;0.0;0.0;0.273468535939852
315;3.14;0.0;1.66;0.75;0.0;0.0;2.99;0.273908532677166
316;3.25;0.0;1.34;0.0;0.0;0.0;4.35;0.296995048262869
317;3.03;0.0;1.34;0.96;0.0;0.0;0.96;0.32793314406862
318;3.13;0.33;1.31;0.0;1.49;0.0;1.65;0.376475384910637
319;3.33;0.34;1.91;0.69;1.09;0.0;2.06;0.327415632840135
320;3.15;0.0;1.5;0.73;0.0;0.0;0.36;0.274075224352154
321;3.27;0.26;1.61;0.0;0.0;0.0;0.79;0.287701304410876
322;3.19;0.0;1.02;0.0;0.0;0.0;0.43;0.352141496305372
323;3.2;2.99;1.63;0.75;0.0;0.0;0.0;0.379572675210758
324;3.27;1.44;1.88;0.0;2.27;0.0;0.72;0.334882616913051
325;3.32;0.6;1.35;0.0;0.0;0.0;0.6;0.322010196745396
326;3.28;3.27;1.78;0.47;1.69;0.0;0.47;0.374116310154333
327;3.59;1.16;3.24;0.0;0.0;0.0;1.16;0.437992710297365
328;3.01;0.31;0.76;8.05;1.11;0.31;25.39;0.357916053558233
329;3.34;0.55;1.48;0.0;0.0;0.0;0.55;0.392054707912178
330;3.12;0.22;1.22;0.22;2.0;0.22;0.44;0.282020082179093
331;3.27;0.85;1.66;0.0;1.19;0.0;0.28;0.331489533385254
332;3.11;1.82;0.8;0.0;1.92;0.0;0.91;0.301490616674225
333;3.16;1.08;1.45;0.0;1.25;0.0;1.08;0.287697724745435
334;3.24;1.59;1.31;0.53;1.85;0.0;0.0;0.29172344105218
335;3.33;0.83;1.25;0.0;2.27;0.0;0.83;0.269269340272461
336;2.92;1.08;1.38;0.0;0.0;0.0;1.08;0.305019783431833
337;2.3;0.0;0.0;0.0;0.0;0.0;4.17;0.460069622391852
338;3.33;0.55;1.53;0.0;2.11;0.14;0.55;0.275832042087726
339;3.26;1.47;0.9;0.0;2.63;0.0;0.74;0.375626417918233
340;2.52;0.61;1.88;0.2;0.0;0.0;0.2;0.30720229437443
341;3.09;0.45;0.69;9.73;0.0;0.0;28.57;0.442371772467173
342;3.27;2.67;1.02;9.33;0.0;0.0;20.0;0.553728695191881
343;3.42;6.52;1.61;0.0;0.0;15.56;2.22;0.320209181320999
344;1.46;0.91;0.92;0.0;0.0;0.0;6.32;0.4163651444519
345;3.07;0.51;1.34;0.0;0.0;0.51;0.0;0.284456699709349
346;3.12;0.0;1.51;0.0;4.55;0.0;1.05;0.326858742109367
347;3.13;1.77;1.21;0.51;0.0;0.0;0.25;0.299954900108043
348;3.05;7.63;1.19;0.38;5.36;0.0;0.76;0.333624343394388
349;3.28;0.38;0.97;0.38;0.0;0.0;0.38;0.280096079913839
350;3.22;0.59;1.35;0.2;0.0;0.0;0.2;0.324921798110008
351;3.36;0.0;0.9;0.0;0.0;0.0;3.03;0.388550301039885
352;3.12;0.85;1.67;0.28;0.52;0.0;0.99;0.369638808989632
353;2.85;0.0;1.95;0.0;0.0;0.0;0.0;0.44820054400863
354;3.31;0.0;1.57;0.0;2.29;0.0;0.44;0.273899027081423
355;3.1;1.09;0.92;0.0;0.0;0.27;0.54;0.346630172100332
356;3.12;0.65;0.88;0.32;0.0;0.0;0.65;0.295916589399179
357;3.03;0.22;0.86;0.0;1.32;0.0;0.22;0.242686175347603
358;3.44;1.54;1.17;1.85;0.0;0.0;5.86;0.382388295358212
359;3.33;0.0;1.09;5.96;1.59;0.0;18.72;0.232318903477146
360;3.31;0.0;1.76;0.54;0.95;0.27;1.9;0.28531404469138
361;3.31;1.55;1.71;0.0;0.0;0.0;1.03;0.424601994746089
362;3.44;4.23;0.76;0.0;1.67;0.48;0.48;0.352737126294406
363;3.23;0.67;1.21;0.0;1.05;0.45;0.45;0.347422661991524
