Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005240026;3.14;2.58;33.85;0.58;23.2;0;41.24;3.13;3.09;0;1.55;100;100;44.56;0.260036859191766
411520005240027;3.04;0;40.57;0.76;8.25;0;55.67;0;1.55;0;4.15;94.3;100;54.92;0.265619978174433
411520005250001;3.08;0;37.2;1.11;5.48;0;42.47;0;2.74;0;0;97.26;98.63;38.36;0.284203081749953
411520005250002;3.02;1.75;41.76;1.55;2.34;0.58;49.12;0;1.75;0;1.17;99.42;100;29.24;0.260198626087772
411520005250003;3.1;5.33;39.68;1;21.78;0;52.44;0;1.33;0;0.89;100;100;37.78;0.258699343384554
411520005250004;3.65;0;34.08;1.19;8.67;0;68.88;0;13.78;0;0;98.98;99.49;23.47;0.332908621407705
411520005250005;4.05;1.08;49.54;1.9;12.54;0;77.78;0.82;21.15;0;0;97.49;99.28;16.49;0.315009033337968
411520005250006;3.34;0.59;36.89;1.42;13.91;0;43.79;0;0.59;1.18;1.48;73.08;99.7;33.14;0.303182204604149
411520005250007;3.29;2.79;41.79;1.08;14.55;0.62;50.46;0.97;2.48;0;0.93;6.83;100;33.54;0.234786205021947
411520005250008;2.67;0;45.45;0;0;0;100;0;0;0;0;16.67;66.67;50;0.35465402788337
411520005250009;3.49;5.23;44.46;1.61;11.66;0;64.08;1.1;6.57;0;0.13;89.66;100;27.38;0.324439327904983
411520005260001;3.15;0;38.74;0.76;3.35;2.39;31.1;0;2.39;0.48;5.74;96.17;100;43.06;0.23870389316733
411520005270001;3.08;0.42;33.64;0.83;2.97;0.42;29.24;0;0.42;8.05;2.97;99.15;100;36.86;0.363913380781586
411520005270002;3.12;2.8;33.62;1.64;13.99;0;40.56;0;3.5;0;4.2;92.31;100;32.87;0.300570431011064
411520005270003;2.85;1.06;38.05;1.59;2.12;2.65;35.98;0;4.23;0;5.91;92.47;100;42.47;0.217074546019939
411520005270004;2.65;0;37.38;1.21;3.21;1.38;14.68;2.63;0;0;1.38;98.17;100;40.37;0.212523533497006
411520005270005;2.48;0.35;32.28;0.91;3.13;1.39;20.49;0;2.08;0;1.04;100;89.93;41.67;0.259074643490806
411520005270006;2.73;0.26;33.08;1.38;2.59;2.07;22.54;1.69;0.78;0;1.3;100;99.48;44.82;0.266146069206297
411520005270007;2.54;2.88;23.25;0.74;2.88;0.58;27.09;0;0;0;1.73;97.41;99.14;52.74;0.23749514309208
411520005270008;2.7;0;33.04;0.82;1.18;1.47;14.12;0;0.88;0;0.29;98.82;57.94;38.24;0.252995432127972
411520005270009;2.42;7.89;25.54;1;21.41;0.28;19.72;0;0.56;0.28;1.99;99.15;100;49.15;0.381648063785099
411520005270010;2.46;2.38;23.51;1.13;6.75;0.79;23.41;0;0.4;0;0;88.1;63.49;44.84;0.363984526477638
411520005270011;2.66;0.54;29.58;1.38;2.17;1.09;18.21;0;1.09;0.54;2.45;98.37;99.73;44.69;0.285404873958656
411520005270012;2.63;0;34.46;0.57;6.02;1.2;18.07;3.13;0;0;3.61;91.57;43.37;45.18;0.254594742521351
411520005270013;3.56;3.7;37.14;1.04;11.11;7.41;14.81;0;0;0;59.26;77.78;100;11.11;0.30695696775133
411520005280001;2.69;8.36;29.64;1.04;9.7;0.67;53.85;2.22;6.02;0.67;0.67;91.97;99.33;73.91;0.286242568858171
